startup_id,company_name,sector,founding_year,funding_rounds,total_funding_usd,employee_count,founder_experience,is_unicorn,ipo_status,market_volatility,investor_count,japanese_investor,success_score,last_valuation_usd,revenue_usd,ipo_valuation_usd,ipo_return_6m,esg_score,customer_growth_rate,burn_rate
STUP_0001,RapidNetworks Labs,healthtech,2017,3,5.87,58,13.66306773,0,0,112.29,4,0,47.5,152.1,27.1,,,79.83,154.79,9.25
STUP_0002,InnoLab Pvt Ltd,consumer tech,2020,2,12.81,34,1.112500035,0,0,45.73,1,0,55.77,,,,,49.24,67.17,6.07
STUP_0003,BlueWorks Innovations,mobility,2018,1,6.8,137,2.49406394,0,0,43.53,5,1,56.82,379.23,16.24,,,44.62,43.07,2.32
STUP_0004,RedLogic Technologies,deeptech,2021,5,12.24,114,12.13895766,0,0,52.83,5,0,59.17,503.99,27.14,,,37.65,134.68,0.27
STUP_0005,FutureMinds Technologies,consumer tech,2015,3,12.25,627,4.826195843,0,0,44.75,1,0,59.99,459.67,102.14,,,49.25,328.01,
STUP_0006,GreenAnalytics Labs,ecommerce,2018,4,8.99,71,12.02313742,0,0,67.34,2,0,68.52,238.71,15.95,,,43.6,187.08,3.05
STUP_0007,BlueAnalytics Labs,deeptech,2022,2,6.27,6,14.66610229,0,0,17.03,3,1,38.6,153.76,,,,,52.5,0.17
STUP_0008,RedSolutions,ecommerce,2014,0,2.7,5,10.07597488,0,0,30.91,4,0,35.07,18.21,17.3,,,,267.88,1.71
STUP_0009,RapidWave Ventures,ecommerce,2020,0,1.57,226,12.06877196,0,0,60.42,3,0,37.18,101.52,22.05,,,44.65,238.17,0.25
STUP_0010,TrueMinds Ventures,fintech,2019,0,6.78,31,8.735189012,0,1,50.86,4,0,61.74,496.01,8.37,12692.18,-5.38,62.05,,4.6
STUP_0011,SmartSolutions Pvt Ltd,healthtech,2015,4,5.68,42,0.854664236,0,0,84.44,3,0,50.34,,137.21,,,34.04,35.95,3.41
STUP_0012,TechNetworks Technologies,healthtech,2015,5,10.18,36,8.071476867,0,0,54.71,1,0,39.72,422.1,28.08,,,58.47,291.84,
STUP_0013,BlueLogic,healthtech,2023,2,4.64,55,3.769434848,0,0,108.05,2,0,57.24,914.7,46.71,,,66.2,,17.81
STUP_0014,BlueSolutions Technologies,deeptech,2023,1,5.63,152,10.05505793,1,0,27.75,3,0,30.82,,21.6,,,,85.13,11.02
STUP_0015,BlueSystems Labs,deeptech,2018,1,30.17,123,4.270497143,0,0,23.28,3,0,53.07,724.55,5.13,,,26.96,31.28,2.9
